Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_375.jpg;0;0;1;0;112.7568;151.6928;0.0002318529;108.0534;3.398985E-07
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_429.jpg;0;0;0;0;112.7568;151.6928;0.0002315827;108.0534;6.799827E-07
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_496.jpg;0;0;0;0;112.7568;151.6928;0.0002315485;108.0534;1.144675E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_563.jpg;0;0;0;0;112.7568;151.6928;0.0002316113;108.0534;1.539925E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_629.jpg;0;0;0;0;112.7568;151.6928;0.0002316824;108.0534;1.987877E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_696.jpg;0;0;0;0;112.7568;151.6928;0.0002320991;108.0534;2.570046E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_762.jpg;0;0;0;0;112.7568;151.6928;0.0002324906;108.0534;2.994106E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_829.jpg;0;0;0;0;112.7568;151.6928;0.0002328822;108.0534;3.418175E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_896.jpg;2.007246;0;0;0;112.7568;151.6928;0.0002334647;108.2943;2.646791E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_08_962.jpg;0;0;0;0;112.7568;151.6928;0.0002333464;108.295;2.475205E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_029.jpg;0;0;0;0;112.7568;151.6928;0.0002330176;108.295;2.447079E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_095.jpg;0;0;0;0;112.7568;151.6928;0.0002325791;108.295;2.409579E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_162.jpg;0;0;0;0;112.7568;151.6928;0.0002322503;108.295;2.381453E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_228.jpg;0;0;0;0;112.7568;151.6928;0.0002319215;108.295;2.353329E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_295.jpg;0;0;0;0;112.7568;151.6928;0.0002314831;108.295;2.315833E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_363.jpg;0;0;0;0;112.7568;151.6928;0.0002315418;108.295;2.009112E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_429.jpg;0;0;0;0;112.7568;151.6928;0.0002314364;108.295;2.02608E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_496.jpg;0;0;0;0;112.7568;151.6928;0.0002314364;108.295;2.02608E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_563.jpg;0;0;0;0;112.7568;151.6928;0.0002314407;108.295;2.052422E-06
